@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
52,'2023/11/29 08:57:09:139',1,369.600708,221.964264,363.204773,174.195679,298.424805,178.789444,315.680725,170.161362,336.180298,176.220718,317.687286,181.263809,382.919556,174.279526,401.67395,166.507126,417.660828,173.119293,401.318695,177.405304,321.018372,291.954895,346.321014,268.95694,388.518341,265.646088,408.735107,285.402893,391.033813,337.750854,344.989227,340.638489,1
53,'2023/11/29 08:57:09:164',1,363.707886,321.219635,358.852905,297.69043,320.132019,294.029297,329.406677,292.385986,342.747894,294.208649,333.490662,296.241669,373.824524,293.282074,386.240845,290.07486,396.850739,290.59906,384.12384,294.103363,339.877991,333.416901,354.14917,332.273041,380.545807,330.661926,396.375732,329.750885,381.938873,338.229675,356.339081,339.765076,1
54,'2023/11/29 08:57:09:166',1,369.600708,221.964264,363.204773,174.195679,298.424805,178.789444,315.680725,170.161362,336.180298,176.220718,317.687286,181.263809,382.919556,174.279526,401.67395,166.507126,417.660828,173.119293,401.318695,177.405304,321.018372,291.954895,346.321014,268.95694,388.518341,265.646088,408.735107,285.402893,391.033813,337.750854,344.989227,340.638489,1
55,'2023/11/29 08:57:09:167',1,363.707886,321.219635,358.852905,297.69043,320.132019,294.029297,329.406677,292.385986,342.747894,294.208649,333.490662,296.241669,373.824524,293.282074,386.240845,290.07486,396.850739,290.59906,384.12384,294.103363,339.877991,333.416901,354.14917,332.273041,380.545807,330.661926,396.375732,329.750885,381.938873,338.229675,356.339081,339.765076,1
56,'2023/11/29 08:57:09:172',1,367.955078,211.717926,361.897491,167.247345,296.941193,175.781693,314.404449,167.608047,334.616272,172.016129,316.054932,177.31131,382.167664,170.056946,400.649414,163.768021,417.044281,169.93544,400.636444,173.409042,317.762726,283.860291,343.266693,259.350769,388.360016,256.271667,409.223938,277.687195,390.58313,329.791565,342.270996,332.50592,1
57,'2023/11/29 08:57:09:195',1,367.955078,211.717926,361.897491,167.247345,296.941193,175.781693,314.404449,167.608047,334.616272,172.016129,316.054932,177.31131,382.167664,170.056946,400.649414,163.768021,417.044281,169.93544,400.636444,173.409042,317.762726,283.860291,343.266693,259.350769,388.360016,256.271667,409.223938,277.687195,390.58313,329.791565,342.270996,332.50592,1
58,'2023/11/29 08:57:09:206',1,365.487091,207.286713,359.669006,164.426224,295.671783,174.006104,312.973145,165.890228,332.920624,169.884293,314.430756,175.303116,380.188965,167.945999,398.503998,162.111893,414.906921,168.256699,398.634216,171.402344,316.777161,281.211395,341.883942,256.064087,386.126556,252.959335,407.276733,274.967163,388.450134,324.32901,340.979004,327.06485,1
59,'2023/11/29 08:57:09:228',1,365.487091,207.286713,359.669006,164.426224,295.671783,174.006104,312.973145,165.890228,332.920624,169.884293,314.430756,175.303116,380.188965,167.945999,398.503998,162.111893,414.906921,168.256699,398.634216,171.402344,316.777161,281.211395,341.883942,256.064087,386.126556,252.959335,407.276733,274.967163,388.450134,324.32901,340.979004,327.06485,1
60,'2023/11/29 08:57:09:239',1,363.866211,204.412598,358.089783,162.34108,294.101685,172.676697,311.431702,164.515167,331.408997,168.205872,312.876099,173.689804,378.757568,166.011124,397.07254,160.21109,413.613678,166.247864,397.266052,169.362091,314.832855,279.144287,340.052948,253.439316,384.752075,250.202988,406.153442,272.606812,387.183807,322.398499,339.113953,325.276489,1
61,'2023/11/29 08:57:09:261',1,363.866211,204.412598,358.089783,162.34108,294.101685,172.676697,311.431702,164.515167,331.408997,168.205872,312.876099,173.689804,378.757568,166.011124,397.07254,160.21109,413.613678,166.247864,397.266052,169.362091,314.832855,279.144287,340.052948,253.439316,384.752075,250.202988,406.153442,272.606812,387.183807,322.398499,339.113953,325.276489,1
